ime,lema,postag
Ambrožić,Ambrožić,Np-sn
Ambruš,Ambruš,Np-sn
Ambrušec,Ambrušec,Np-sn
Ambrušić,Ambrušić,Np-sn
Ambruž,Ambruž,Np-sn
Amedi,Amedi,Np-sn
Amedova,Amedova,Np-sn
Amedović,Amedović,Np-sn
Amedovski,Amedovski,Np-sn
Amelin,Amelin,Np-sn
Amendt,Amendt,Np-sn
Ament,Ament,Np-sn
Amerl,Amerl,Np-sn
Ameršek,Ameršek,Np-sn
Ameti,Ameti,Np-sn
Amft,Amft,Np-sn
Amić,Amić,Np-sn
Amidović,Amidović,Np-sn
Amidžić,Amidžić,Np-sn
Amin,Amin,Np-sn
Amit,Amit,Np-sn
Amiti,Amiti,Np-sn
Amitović,Amitović,Np-sn
Amižić,Amižić,Np-sn
Ammane,Ammane,Np-sn
Amon,Amon,Np-sn
Amović,Amović,Np-sn
Ampleforth,Ampleforth,Np-sn
Amrein,Amrein,Np-sn
Ams,Ams,Np-sn
Amst,Amst,Np-sn
Amstadt,Amstadt,Np-sn
Amšel,Amšel,Np-sn
Amšlinger,Amšlinger,Np-sn
Amula,Amula,Np-sn
Amulić,Amulić,Np-sn
Amunić,Amunić,Np-sn
Amura,Amura,Np-sn
Amza,Amza,Np-sn
Amzai,Amzai,Np-sn
Amzoski,Amzoski,Np-sn
Ana,Ana,Np-sn
Anadolac,Anadolac,Np-sn
Anaković,Anaković,Np-sn
Ananić,Ananić,Np-sn
Ananijev,Ananijev,Np-sn
Anasov,Anasov,Np-sn
Anastasijević,Anastasijević,Np-sn
Anastasijevski,Anastasijevski,Np-sn
Anastasov,Anastasov,Np-sn
Anastazije,Anastazije,Np-sn
Anatičuk,Anatičuk,Np-sn
Anatićuk,Anatićuk,Np-sn
Ancel,Ancel,Np-sn
Ancelj,Ancelj,Np-sn
Ancić,Ancić,Np-sn
Ančić,Ančić,Np-sn
Ančimer,Ančimer,Np-sn
Ančurovski,Ančurovski,Np-sn
Andabak,Andabak,Np-sn
Andabaka,Andabaka,Np-sn
Andača,Andača,Np-sn
Andačić,Andačić,Np-sn
Andaković,Andaković,Np-sn
Andel,Andel,Np-sn
Andelfinger,Andelfinger,Np-sn
Anderle,Anderle,Np-sn
Anderlin,Anderlin,Np-sn
Anderlon,Anderlon,Np-sn
Anderluh,Anderluh,Np-sn
Andersen,Andersen,Np-sn
Andesilić,Andesilić,Np-sn
Andić,Andić,Np-sn
Andjal,Andjal,Np-sn
Andjan,Andjan,Np-sn
Andjel,Andjel,Np-sn
Andjelić,Andjelić,Np-sn
Andjelković,Andjelković,Np-sn
Andjelović,Andjelović,Np-sn
Andjić,Andjić,Np-sn
Andjus,Andjus,Np-sn
Andl,Andl,Np-sn
Andlar,Andlar,Np-sn
Andlovec,Andlovec,Np-sn
Andok,Andok,Np-sn
Andolšek,Andolšek,Np-sn
Andonoski,Andonoski,Np-sn
Andonov,Andonov,Np-sn
Andonović,Andonović,Np-sn
Andonovski,Andonovski,Np-sn
Andorfer,Andorfer,Np-sn
Andov,Andov,Np-sn
Andračić,Andračić,Np-sn
Andraka,Andraka,Np-sn
Andraković,Andraković,Np-sn
Andrasi,Andrasi,Np-sn
Andrassy,Andrassy,Np-sn
Andrašec,Andrašec,Np-sn
Andrašek,Andrašek,Np-sn
Andrašev,Andrašev,Np-sn
Andrašević,Andrašević,Np-sn
Andraši,Andraši,Np-sn
Andrašić,Andrašić,Np-sn
Andraus,Andraus,Np-sn
Andreančić,Andreančić,Np-sn
Andreani,Andreani,Np-sn
Andreašić,Andreašić,Np-sn
Andreata,Andreata,Np-sn
Andreatto,Andreatto,Np-sn
Andrec,Andrec,Np-sn
Andrečenko,Andrečenko,Np-sn
Andree,Andree,Np-sn
Andreev,Andreev,Np-sn
Andreeva,Andreeva,Np-sn
Andreić,Andreić,Np-sn
Andreis,Andreis,Np-sn
Andreitchouk,Andreitchouk,Np-sn
Andreja,Andreja,Np-sn
Andrejaš,Andrejaš,Np-sn
Andrejčić,Andrejčić,Np-sn
Andrejek,Andrejek,Np-sn
Andrejevič,Andrejevič,Np-sn
Andrejević,Andrejević,Np-sn
Andrejić,Andrejić,Np-sn
Andrek,Andrek,Np-sn
Andreković,Andreković,Np-sn
Andrel,Andrel,Np-sn
Andres,Andres,Np-sn
Andreska,Andreska,Np-sn
Andressen,Andressen,Np-sn
Andrešić,Andrešić,Np-sn
Andreškić,Andreškić,Np-sn
Andretić,Andretić,Np-sn
Andreuci,Andreuci,Np-sn
Andreutti,Andreutti,Np-sn
Andreuzzi,Andreuzzi,Np-sn
Andrević,Andrević,Np-sn
Andrevski,Andrevski,Np-sn
Andri,Andri,Np-sn
Andrian,Andrian,Np-sn
Andrianić,Andrianić,Np-sn
Andriata,Andriata,Np-sn
Andriato,Andriato,Np-sn
Andricich,Andricich,Np-sn
Andriček,Andriček,Np-sn
Andričević,Andričević,Np-sn
Andričić,Andričić,Np-sn
Andrić,Andrić,Np-sn
Andrija,Andrija,Np-sn
Andrijac,Andrijac,Np-sn
Andrijančić,Andrijančić,Np-sn
Andrijanić,Andrijanić,Np-sn
Andrijaš,Andrijaš,Np-sn
Andrijašević,Andrijašević,Np-sn
Andrijašić,Andrijašić,Np-sn
Andrijata,Andrijata,Np-sn
Andrijato,Andrijato,Np-sn
Andrijčić,Andrijčić,Np-sn
Andrijević,Andrijević,Np-sn
