"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o službenoj iskaznici i znacki inspektora za regulaciju tržišta željeznickih usluga i zaštitu prava putnika u željeznickom prijevozu";NA;"15.12.2017.";"15.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6638";"/ECon/MainScreen?entityId=6638";"6638"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu na Prijedlog Pravilnika o službenim kontrolama vina, grožda mošta, soka od grožda, vocnih vina i aromatiziranih proizvoda od vina";NA;"15.12.2017.";"15.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6645";"/ECon/MainScreen?entityId=6645";"6645"
"Ministarstvo poljoprivrede";"Savjetovanje sa zainteresiranom javnošcu za prijedlog Programa monitoringa rezistentnosti štetnih organizama na sredstva za zaštitu bilja u Republici Hrvatskoj";"/ECon/EconReport?entityId=6633";"15.12.2017.";"29.12.2017.";"02.01.2018.";"Izvješca objavljena";"/Documents/List/6633";"/ECon/MainScreen?entityId=6633";"6633"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o uvjetima, kriterijima i nacinu dodjele potpore u okviru mjere IV.1. „Planovi proizvodnje i stavljanja na tržište“";NA;"15.12.2017.";"29.12.2017.";"05.01.2018.";"Zatvoren";"/Documents/List/6634";"/ECon/MainScreen?entityId=6634";"6634"
"Ministarstvo rada i mirovinskoga sustava";"Savjetovanje o prethodnoj procjeni Zakona o izmjenama i dopunama Zakona o obveznim mirovinskim fondovima";"/ECon/EconReport?entityId=6619";"14.12.2017.";"28.12.2017.";"03.01.2018.";"Izvješca objavljena";"/Documents/List/6619";"/ECon/MainScreen?entityId=6619";"6619"
"Ministarstvo zdravstva";"Savjetovanje o Nacrtu Pravilnika o dopunama Pravilnika o osiguranju kvalitete krvi i krvnih pripravaka u zdravstvenim ustanovama";NA;"14.12.2017.";"29.12.2017.";"29.01.2018.";"Zatvoren";"/Documents/List/6621";"/ECon/MainScreen?entityId=6621";"6621"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o nacrtu prijedloga Pravilnika o izmijenama i dopunama Pravilnika o nadzornim izvještajima za pravne osobe ovlaštene za pružanje investicijskih usluga i obavljanje investicijskih aktivnosti";"/ECon/EconReport?entityId=6625";"14.12.2017.";"26.12.2017.";"08.01.2018.";"Izvješca objavljena";"/Documents/List/6625";"/ECon/MainScreen?entityId=6625";"6625"
"Ministarstvo unutarnjih poslova";"Savjetovanje sa zainteresiranom javnošcu o Zakona o prijenosu i obradi podataka o putnicima u zracnom prometu u svrhu sprjecavanja, otkrivanja, istraživanja i vodenja kaznenog postupka za kaznena djela terorizma i druga teška kaznena djela";NA;"14.12.2017.";"14.01.2018.";"16.01.2018.";"Otvoren";"/Documents/List/6627";"/ECon/MainScreen?entityId=6627";"6627"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu upute za primjenu kontnog plana za leasing društava";"/ECon/EconReport?entityId=6599";"14.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6599";"/ECon/MainScreen?entityId=6599";"6599"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu Pravilnika o izmjeni pravilnika o financijskim i dodatnim izvještajima te kontnom planu faktoring društava";"/ECon/EconReport?entityId=6600";"13.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6600";"/ECon/MainScreen?entityId=6600";"6600"
