Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo turizma,Prethodna procjena za Zakon o izmjenama Zakona o ugostiteljskoj djelatnosti,/ECon/EconReport?entityId=4287,08.11.2016.,22.11.2016.,30.11.2016.,Izvješća objavljena,/Documents/List/4287,/ECon/MainScreen?entityId=4287,4287
Ministarstvo turizma,Prijedlog plana normativnih aktivnosti za 2017. godinu,/ECon/EconReport?entityId=4289,08.11.2016.,23.11.2016.,30.11.2016.,Izvješća objavljena,/Documents/List/4289,/ECon/MainScreen?entityId=4289,4289
Državni zavod za mjeriteljstvo,Prijedlog Pravilnika o obvezi vođenja evidencije obračunskih komunalnih mjerila u uporabi,/ECon/EconReport?entityId=4291,08.11.2016.,08.12.2016.,15.12.2016.,Izvješća objavljena,/Documents/List/4291,/ECon/MainScreen?entityId=4291,4291
Ministarstvo poljoprivrede,Nacionalni program očuvanja i održive uporabe biljnih genetskih izvora za hranu i poljoprivredu za razdoblje od 2017. do 2020. godine,/ECon/EconReport?entityId=4275,08.11.2016.,04.12.2016.,10.12.2016.,Izvješća objavljena,/Documents/List/4275,/ECon/MainScreen?entityId=4275,4275
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Prijedlogu zakona o potvrđivanju izmjena i dopuna Protokola o teškim metalima uz Konvenciju o dalekosežnom prekograničnom onečišćenju zraka,/ECon/EconReport?entityId=4131,08.11.2016.,08.12.2016.,08.01.2017.,Izvješća objavljena,/Documents/List/4131,/ECon/MainScreen?entityId=4131,4131
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Prijedlogu zakona o potvrđivanju izmjena i dopuna Protokola o postajnim organskim onečišćujućim tvarima uz Konvenciju o dalekosežnom prekograničnom onečišćenju zraka,/ECon/EconReport?entityId=4132,08.11.2016.,08.12.2016.,08.01.2017.,Izvješća objavljena,/Documents/List/4132,/ECon/MainScreen?entityId=4132,4132
Ministarstvo turizma,"Prijedlog Zakona o izmjenama Zakona o ugostiteljskoj djelatnosti, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=4279,07.11.2016.,22.11.2016.,30.11.2016.,Izvješća objavljena,/Documents/List/4279,/ECon/MainScreen?entityId=4279,4279
Ministarstvo financija,Savjetovanje o obrascu prijedloga Plana normativnih aktivnosti ministarstva financija za 2017. godinu,/ECon/EconReport?entityId=4263,04.11.2016.,19.11.2016.,19.12.2016.,Izvješća objavljena,/Documents/List/4263,/ECon/MainScreen?entityId=4263,4263
Ministarstvo pravosuđa,"Javno savjetovanje o Prijedlogu Zakona o izmjeni Zakona o javnom bilježništvu, s Konačnim prijedlogom Zakona",/ECon/EconReport?entityId=4269,04.11.2016.,18.11.2016.,22.11.2016.,Izvješća objavljena,/Documents/List/4269,/ECon/MainScreen?entityId=4269,4269
Ministarstvo pravosuđa,"Javno savjetovanje o Prijedlogu Zakona o izmjeni Zakona o plaćama sudaca i drugih pravosudnih dužnosnika, s Konačnim prijedlogom Zakona",/ECon/EconReport?entityId=4272,04.11.2016.,18.11.2016.,22.11.2016.,Izvješća objavljena,/Documents/List/4272,/ECon/MainScreen?entityId=4272,4272
Državni zavod za statistiku,Nacrt prijedloga godišnjega provedbenog plana statističkih aktivnosti Republike Hrvatske 2017. godine,/ECon/EconReport?entityId=4253,03.11.2016.,02.12.2016.,09.12.2016.,Izvješća objavljena,/Documents/List/4253,/ECon/MainScreen?entityId=4253,4253
Ministarstvo rada i mirovinskoga sustava,PRIJEDLOG PLANA PROPISA IZ DJELOKRUGA MINISTARSTVA RADA I MIROVINSKOGA SUSTAVA ZA 2017. GODINU,/ECon/EconReport?entityId=4242,02.11.2016.,17.11.2016.,25.11.2016.,Izvješća objavljena,/Documents/List/4242,/ECon/MainScreen?entityId=4242,4242
Ministarstvo poljoprivrede,Pravilnik  o izmjenama i dopunama Pravilnika o upisu sorti u Popis sorti voćnih vrsta,/ECon/EconReport?entityId=4245,02.11.2016.,16.11.2016.,30.11.2016.,Izvješća objavljena,/Documents/List/4245,/ECon/MainScreen?entityId=4245,4245
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o cestama,/ECon/EconReport?entityId=4247,02.11.2016.,17.11.2016.,05.12.2016.,Izvješća objavljena,/Documents/List/4247,/ECon/MainScreen?entityId=4247,4247
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Nacrtu prijedloga Plana gospodarenja otpadom RH za razdoblje 2016.-2022. godine,/ECon/EconReport?entityId=4252,02.11.2016.,02.12.2016.,30.12.2016.,Izvješća objavljena,/Documents/List/4252,/ECon/MainScreen?entityId=4252,4252
Ministarstvo financija,Savjetovanje o Tezama i Prethodnoj procjeni za Zakon o izmjenama i dopunama zakona o carinskoj službi,/ECon/EconReport?entityId=4234,31.10.2016.,14.11.2016.,20.11.2016.,Izvješća objavljena,/Documents/List/4234,/ECon/MainScreen?entityId=4234,4234
Ministarstvo poljoprivrede,PRIJEDLOG PRAVILNIKA O DOPUNI PRAVILNIKA O EVIDENCIJI UPORABE POLJOPRIVREDNOG ZEMLJIŠTA,/ECon/EconReport?entityId=4183,28.10.2016.,14.11.2016.,18.11.2016.,Izvješća objavljena,/Documents/List/4183,/ECon/MainScreen?entityId=4183,4183
Ministarstvo financija,Savjetovanje sa zainteresiranom javnošću o Prethodnoj procjeni i Tezama za Zakon o izmjenama i dopunama Zakona o trošarinama,/ECon/EconReport?entityId=4187,28.10.2016.,13.11.2016.,20.11.2016.,Izvješća objavljena,/Documents/List/4187,/ECon/MainScreen?entityId=4187,4187
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Prijedlogu Pravilnika o uvjetima i načinu obavljanja djelatnosti hidrografske izmjere,/ECon/EconReport?entityId=4213,28.10.2016.,28.11.2016.,28.12.2016.,Izvješća objavljena,/Documents/List/4213,/ECon/MainScreen?entityId=4213,4213
Ministarstvo financija,Savjetovanje sa zainteresiranom javnošću o Prethodnoj procjeni i Tezama za Zakon o izmjenama i dopunama Zakona o posebnom porezu na motorna vozila,/ECon/EconReport?entityId=4218,28.10.2016.,13.11.2016.,20.11.2016.,Izvješća objavljena,/Documents/List/4218,/ECon/MainScreen?entityId=4218,4218
Ministarstvo financija,Savjetovanje o nacrtu prijedloga Pravilnika o obliku i sadržaju dodatnih podataka za statističke i druge potrebe,/ECon/EconReport?entityId=4181,27.10.2016.,26.11.2016.,26.12.2016.,Izvješća objavljena,/Documents/List/4181,/ECon/MainScreen?entityId=4181,4181
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Strateškoj studiji utjecaja na okoliš Nacionalnog plana razvoja luka otvorenih za javni promet od županijskog i lokalnog značaja - Netehnički sažetak,/ECon/EconReport?entityId=4146,26.10.2016.,26.11.2016.,27.12.2016.,Izvješća objavljena,/Documents/List/4146,/ECon/MainScreen?entityId=4146,4146
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Strateškoj studiji utjecaja na okoliš Nacionalnog plana razvoja luka otvorenih za javni promet od županijskog i lokalnog značaja,/ECon/EconReport?entityId=4158,26.10.2016.,26.11.2016.,27.12.2016.,Izvješća objavljena,/Documents/List/4158,/ECon/MainScreen?entityId=4158,4158
Ministarstvo financija,Savjetovanje o nacrtu prijedloga Zakona o izmjenama i dopunama o računovodstvu,/ECon/EconReport?entityId=4171,26.10.2016.,09.11.2016.,09.12.2016.,Izvješća objavljena,/Documents/List/4171,/ECon/MainScreen?entityId=4171,4171
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Nacionalnom planu razvoja luka otvorenih za javni promet od županijskog i lokalnog značaja,/ECon/EconReport?entityId=4172,26.10.2016.,26.11.2016.,27.12.2016.,Izvješća objavljena,/Documents/List/4172,/ECon/MainScreen?entityId=4172,4172
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Tezama uz prethodnu procjenu za Zakon o potvrđivanju Pariškog sporazuma,/ECon/EconReport?entityId=4141,21.10.2016.,07.11.2016.,11.11.2016.,Izvješća objavljena,/Documents/List/4141,/ECon/MainScreen?entityId=4141,4141
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o prethodnoj procjeni za Zakon o potvrđivanju Pariškog sporazuma,/ECon/EconReport?entityId=4142,21.10.2016.,07.11.2016.,11.11.2016.,Izvješća objavljena,/Documents/List/4142,/ECon/MainScreen?entityId=4142,4142
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Prijedlogu uredbe o odgovornosti za štete u okolišu,/ECon/EconReport?entityId=4106,19.10.2016.,21.11.2016.,21.12.2016.,Izvješća objavljena,/Documents/List/4106,/ECon/MainScreen?entityId=4106,4106
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Nacrtu II. Nacionalnog izvješća o provedbi Protokola o registrima ispuštanja i prijenosa onečišćujućih tvari u skladu s odlukom 1/5 (ECE/MP.PRTR/2010/2/Add.1),/ECon/EconReport?entityId=4124,18.10.2016.,18.11.2016.,19.12.2016.,Izvješća objavljena,/Documents/List/4124,/ECon/MainScreen?entityId=4124,4124
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o stjecanju statusa specijalista iz uže specijalnosti,/ECon/EconReport?entityId=4128,18.10.2016.,17.11.2016.,01.12.2016.,Izvješća objavljena,/Documents/List/4128,/ECon/MainScreen?entityId=4128,4128
Ministarstvo financija,Savjetovanje o nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o tržištu kapitala,/ECon/EconReport?entityId=4126,17.10.2016.,11.11.2016.,11.12.2016.,Izvješća objavljena,/Documents/List/4126,/ECon/MainScreen?entityId=4126,4126
Ministarstvo poljoprivrede,"Pravilnik o postupku utvrđivanja različitosti, ujednaenosti i postojanosti sorti voćnih vrsta u svrhu priznavanja sorti",/ECon/EconReport?entityId=4118,14.10.2016.,29.10.2016.,31.10.2016.,Izvješća objavljena,/Documents/List/4118,/ECon/MainScreen?entityId=4118,4118
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o izmjeni Pravilnika o načinu obavljanja medicinsko-biokemijske djelatnosti u liječničkim ordinacijama,NA,14.10.2016.,14.11.2016.,01.12.2016.,Zatvoren,/Documents/List/4120,/ECon/MainScreen?entityId=4120,4120
Ministarstvo pravosuđa,"Savjetovanje o nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o pravosudnoj suradnji u kaznenim stvarima s državama članicama europske unije, s konačnim prijedlogom Zakona",/ECon/EconReport?entityId=4112,12.10.2016.,27.10.2016.,10.11.2016.,Izvješća objavljena,/Documents/List/4112,/ECon/MainScreen?entityId=4112,4112
Ministarstvo državne imovine,Prijedlog Plana upravljanja imovinom u vlasništvu Republike Hrvatske za 2017. godinu,/ECon/EconReport?entityId=4115,12.10.2016.,10.11.2016.,17.11.2016.,Izvješća objavljena,/Documents/List/4115,/ECon/MainScreen?entityId=4115,4115
Agencija za elektroničke medije,Prijedlog Pravilnika o izmjenama i dopunama Pravilnika o Fondu za poticanje pluralizma i raznovrsnosti elektroničkih medija,/ECon/EconReport?entityId=4109,11.10.2016.,11.11.2016.,11.12.2016.,Izvješća objavljena,/Documents/List/4109,/ECon/MainScreen?entityId=4109,4109
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o procjeni zdravstvenih tehnologija,NA,11.10.2016.,10.11.2016.,30.11.2016.,Zatvoren,/Documents/List/4103,/ECon/MainScreen?entityId=4103,4103
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Prijedlogu programa praćenja kvalitete tekućih naftnih goriva u 2017. godini,/ECon/EconReport?entityId=4099,10.10.2016.,10.11.2016.,09.12.2016.,Izvješća objavljena,/Documents/List/4099,/ECon/MainScreen?entityId=4099,4099
Ministarstvo graditeljstva i prostornoga uređenja,Nacrt ključnih elemenata Poziva na dostavu projektnih prijedloga „Energetska obnova zgrada i korištenje obnovljivih izvora energije u javnim ustanovama koje obavljaju djelatnost odgoja i obrazovanja“,/ECon/EconReport?entityId=4101,07.10.2016.,21.10.2016.,04.11.2016.,Izvješća objavljena,/Documents/List/4101,/ECon/MainScreen?entityId=4101,4101
Ministarstvo poljoprivrede,"Savjetovanje sa zainteresiranom javnošću o Prijedlogu pravilnika o uvjetima, kriterijima i načinu dodjele potpore u okviru mjere I.10. „Trajni prestanak ribolovnih aktivnosti“",/ECon/EconReport?entityId=4097,06.10.2016.,04.11.2016.,11.11.2016.,Izvješća objavljena,/Documents/List/4097,/ECon/MainScreen?entityId=4097,4097
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnošću o Nacrtu Pravilnika o izmjeni Pravilnika o kriterijima za izricanje pedagoških mjera,/ECon/EconReport?entityId=4095,05.10.2016.,20.10.2016.,20.11.2016.,Izvješća objavljena,/Documents/List/4095,/ECon/MainScreen?entityId=4095,4095
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnošću o Pravilniku o pedagoškoj dokumentaciji i evidenciji te javnim ispravama u školskim ustanovama,/ECon/EconReport?entityId=4014,05.10.2016.,04.11.2016.,08.01.2017.,Izvješća objavljena,/Documents/List/4014,/ECon/MainScreen?entityId=4014,4014
Ministarstvo poljoprivrede,Savjetovanje sa zainteresiranom javnošću o Nacrtu Pravilnika o kazeinima i kazeinatima namijenjenim prehrani ljudi,/ECon/EconReport?entityId=4090,04.10.2016.,04.11.2016.,11.11.2016.,Izvješća objavljena,/Documents/List/4090,/ECon/MainScreen?entityId=4090,4090
Ministarstvo turizma,"Nacrt prijedloga Zakona o izmjenama i dopunama zakona o članarinama u turističkim zajednicama, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=4093,04.10.2016.,11.11.2016.,15.11.2016.,Izvješća objavljena,/Documents/List/4093,/ECon/MainScreen?entityId=4093,4093
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku",Nacrt prijedloga Zakona o potvrđivanju Fakultativnog protokola uz Konvenciju o pravima djeteta o postupku povodom pritužbi,/ECon/EconReport?entityId=4087,03.10.2016.,02.11.2016.,02.12.2016.,Izvješća objavljena,/Documents/List/4087,/ECon/MainScreen?entityId=4087,4087
Ministarstvo poljoprivrede,Pravilnik o izmjenama Pravilnika o registraciji poljoprivrednika koji posluju s hranom za životinje - produženje roka za primjedbe,/ECon/EconReport?entityId=3904,29.09.2016.,02.11.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/3904,/ECon/MainScreen?entityId=3904,3904
Ministarstvo turizma,Nacrt ključnih elemenata ESF poziva na dostavu projektnih prijedloga  „Poboljšanje pristupa ranjivih skupina tržištu rada u sektoru turizma i ugostiteljstva“,/ECon/EconReport?entityId=4078,28.09.2016.,12.10.2016.,17.10.2016.,Izvješća objavljena,/Documents/List/4078,/ECon/MainScreen?entityId=4078,4078
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Upute  za popunjavanje financijskih i dodatnih izvještaja leasing društva,/ECon/EconReport?entityId=4081,28.09.2016.,28.10.2016.,30.11.2016.,Izvješća objavljena,/Documents/List/4081,/ECon/MainScreen?entityId=4081,4081
Ministarstvo zaštite okoliša i energetike,"Javno savjetovanje o Prijedlogu uredbe o izmjenama Uredbe o jediničnim naknadama, korektivnim koeficijentima i pobližim kriterijima i mjerilima za utvrđivanje posebne naknade za okoliš na vozila na motorni pogon",/ECon/EconReport?entityId=4028,26.09.2016.,26.10.2016.,26.11.2016.,Izvješća objavljena,/Documents/List/4028,/ECon/MainScreen?entityId=4028,4028
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o popisu i sadržaju dokumenata za odobrenje nuklearnih aktivnosti,/ECon/EconReport?entityId=4061,23.09.2016.,24.10.2016.,07.11.2016.,Izvješća objavljena,/Documents/List/4061,/ECon/MainScreen?entityId=4061,4061
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o procjeni lokacije nuklearnog postrojenja,/ECon/EconReport?entityId=4062,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4062,/ECon/MainScreen?entityId=4062,4062
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o ovlastenim izvrsiteljima na podrucju nuklearne sigurnosti,/ECon/EconReport?entityId=4063,23.09.2016.,24.10.2016.,07.11.2016.,Izvješća objavljena,/Documents/List/4063,/ECon/MainScreen?entityId=4063,4063
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o sadržaju prijave za dobivanje odobrenja za početak perioda testnog pogona nuklearnog postrojenja,/ECon/EconReport?entityId=4064,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4064,/ECon/MainScreen?entityId=4064,4064
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o akreditacijskom postupku i davanju akreditacije nositeljima zdravstvene djelatnosti,NA,23.09.2016.,24.10.2016.,14.11.2016.,Zatvoren,/Documents/List/4066,/ECon/MainScreen?entityId=4066,4066
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o sadržaju zahtjeva za suglasnost za započinjanje ili prestanak rada ili razgradnju nuklearnog postrojenja,/ECon/EconReport?entityId=4068,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4068,/ECon/MainScreen?entityId=4068,4068
Državni zavod za radiološku i nuklearnu sigurnost,"Savjetovanje o Pravilniku o sadržaju, opsegu, načinu i učestalosti izvješćivanja o pogonu nuklearnog postrojenja",/ECon/EconReport?entityId=4069,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4069,/ECon/MainScreen?entityId=4069,4069
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o sustavu upravljanja nuklearnim postrojenjima,/ECon/EconReport?entityId=4070,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4070,/ECon/MainScreen?entityId=4070,4070
Državni zavod za radiološku i nuklearnu sigurnost,"Savjetovanje o Pravilniku o učestalosti, sadržaju, opsegu i načinu izvođenja povremenih sigurnosnih pregleda nuklearnih postrojenja",/ECon/EconReport?entityId=4071,23.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4071,/ECon/MainScreen?entityId=4071,4071
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o radionicama za tahografe,/ECon/EconReport?entityId=4073,23.09.2016.,24.10.2016.,24.11.2016.,Izvješća objavljena,/Documents/List/4073,/ECon/MainScreen?entityId=4073,4073
Državni zavod za radiološku i nuklearnu sigurnost,Savjetovanje o Pravilniku o Izvješću o analizi sigurnosti za nuklearna postrojenja,/ECon/EconReport?entityId=4060,22.09.2016.,24.10.2016.,08.11.2016.,Izvješća objavljena,/Documents/List/4060,/ECon/MainScreen?entityId=4060,4060
Ministarstvo poljoprivrede,"NACRT PRAVILNIKA O PROVEDBI MJERE M04 ULAGANJA U FIZIČKU IMOVINU, PODMJERE 4.2. „POTPORA ZA ULAGANJA U PRERADU, MARKETING I/ILI RAZVOJ POLJOPRIVREDNIH PROIZVODA“ IZ PROGRAMA RURALNOG RAZVOJA REPUBLIKE HRVATSKE ZA RAZDOBLJE 2014.-2020.",NA,21.09.2016.,10.10.2016.,28.10.2016.,Zatvoren,/Documents/List/4034,/ECon/MainScreen?entityId=4034,4034
Ministarstvo poljoprivrede,"NACRT PRAVILNIKA O PROVEDBI MJERE M04 ULAGANJA U FIZIČKU IMOVINU, PODMJERE 4.1. POTPORA ZA ULAGANJA U POLJOPRIVREDNA GOSPODARSTVA IZ PROGRAMA RURALNOG RAZVOJA REPUBLIKE HRVATSKE ZA RAZDOBLJE 2014.-2020.",NA,21.09.2016.,10.10.2016.,28.10.2016.,Zatvoren,/Documents/List/4037,/ECon/MainScreen?entityId=4037,4037
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku","Savjetovanje o Nacrtu prijedloga Iskaza o procjeni učinaka propisa za Nacrt prijedloga Obiteljskog zakona, Prethodne procjene za Obiteljski zakon i Teza za Obiteljski zakon",/ECon/EconReport?entityId=4049,21.09.2016.,11.11.2016.,11.02.2017.,Izvješća objavljena,/Documents/List/4049,/ECon/MainScreen?entityId=4049,4049
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o promidžbi i ostalim informacijama za ulagatelje UCITS fonda,/ECon/EconReport?entityId=4052,21.09.2016.,21.10.2016.,21.11.2016.,Izvješća objavljena,/Documents/List/4052,/ECon/MainScreen?entityId=4052,4052
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o dozvoljenim ulaganjima i ograničenjima ulaganja UCITS fonda,/ECon/EconReport?entityId=4053,21.09.2016.,21.10.2016.,21.11.2016.,Izvješća objavljena,/Documents/List/4053,/ECon/MainScreen?entityId=4053,4053
Ministarstvo graditeljstva i prostornoga uređenja,Nacrt ključnih elemenata Poziva na dostavu projektnih prijedloga „Energetska obnova višestambenih zgrada“,/ECon/EconReport?entityId=4046,20.09.2016.,04.10.2016.,14.10.2016.,Izvješća objavljena,/Documents/List/4046,/ECon/MainScreen?entityId=4046,4046
Ministarstvo poljoprivrede,PRIJEDLOG PROGRAMA POTPORA ZA ORGANIZACIJU MANIFESTACIJA ZA 2016. GODINU,/ECon/EconReport?entityId=4044,19.09.2016.,07.10.2016.,14.10.2016.,Izvješća objavljena,/Documents/List/4044,/ECon/MainScreen?entityId=4044,4044
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Nacrtu prijedloga Pravilnika o načinu i uvjetima za sigurno odvijanje i upravljanje željezničkim prometom,/ECon/EconReport?entityId=4030,19.09.2016.,19.10.2016.,21.11.2016.,Izvješća objavljena,/Documents/List/4030,/ECon/MainScreen?entityId=4030,4030
Ministarstvo gospodarstva,Izvješće o provedbi Nacionalnog programa zaštite potrošača za razdoblje od 2013. do 2016. godine,/ECon/EconReport?entityId=4026,16.09.2016.,17.10.2016.,05.12.2016.,Izvješća objavljena,/Documents/List/4026,/ECon/MainScreen?entityId=4026,4026
Državna uprava za zaštitu i spašavanje,Prijedlog pravilnika o odori pripadnika operativnih snaga civilne zaštite i državnih službenika i namještenika Državne uprave za zaštitu i spašavanje,/ECon/EconReport?entityId=4017,15.09.2016.,14.10.2016.,31.10.2016.,Izvješća objavljena,/Documents/List/4017,/ECon/MainScreen?entityId=4017,4017
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o izmjenama i dopunama Pravilnika o specijalističkom usavršavanju doktora medicine iz obiteljske medicine,/ECon/EconReport?entityId=4019,15.09.2016.,17.10.2016.,31.10.2016.,Izvješća objavljena,/Documents/List/4019,/ECon/MainScreen?entityId=4019,4019
Ministarstvo zdravstva,Savjetovanje o Nacrtu prijedloga Pravilnika o izmjenama i dopunama Pravilnika o specijalističkom usavršavanju doktora medicine,/ECon/EconReport?entityId=4022,15.09.2016.,17.10.2016.,31.10.2016.,Izvješća objavljena,/Documents/List/4022,/ECon/MainScreen?entityId=4022,4022
Ministarstvo zaštite okoliša i energetike,Prijedlog Pravilnika o izmjenama i dopunama Pravilnika o baterijama i akumulatorima i otpadnim baterijama i akumulatorima,/ECon/EconReport?entityId=3997,15.09.2016.,15.10.2016.,15.11.2016.,Izvješća objavljena,/Documents/List/3997,/ECon/MainScreen?entityId=3997,3997
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o udjelima UCITS fonda,/ECon/EconReport?entityId=4007,14.09.2016.,14.10.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/4007,/ECon/MainScreen?entityId=4007,4007
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o delegiranju poslova društva za upravljanje UCITS fondom,/ECon/EconReport?entityId=4008,14.09.2016.,14.10.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/4008,/ECon/MainScreen?entityId=4008,4008
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o glavnim i napajajućim UCITS fondovima,/ECon/EconReport?entityId=4009,14.09.2016.,14.10.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/4009,/ECon/MainScreen?entityId=4009,4009
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o obavještavanju kod trgovanja udjelima UCITS fondova u drugoj državi članici,/ECon/EconReport?entityId=4010,14.09.2016.,14.10.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/4010,/ECon/MainScreen?entityId=4010,4010
Ured za udruge Vlade Republike Hrvatske,Javno savjetovanje o Izvješću o provedbi Akcijskog plana za provedbu inicijative Partnerstvo za otvorenu vlast u Republici Hrvatskoj za razdoblje od 2014. do 2016. godine,/ECon/EconReport?entityId=4011,14.09.2016.,29.09.2016.,17.10.2016.,Izvješća objavljena,/Documents/List/4011,/ECon/MainScreen?entityId=4011,4011
Ministarstvo financija,Odluka o iznosu državnih poticajnih sredstava za stambenu štednju prikupljenu u 2017. godini,/ECon/EconReport?entityId=3999,13.09.2016.,14.10.2016.,14.11.2016.,Izvješća objavljena,/Documents/List/3999,/ECon/MainScreen?entityId=3999,3999
Ministarstvo pravosuđa,Nacrt Prijedloga Uredbe o korištenju novčanih sredstava koja se vode na posebnom računu suda,/ECon/EconReport?entityId=4003,13.09.2016.,20.09.2016.,21.09.2016.,Izvješća objavljena,/Documents/List/4003,/ECon/MainScreen?entityId=4003,4003
Državni zavod za intelektualno vlasništvo,Prijedlog plana normativnih aktivnosti Državnog zavoda za intelektualno vlasništvo za 2017. godinu,/ECon/EconReport?entityId=3983,13.09.2016.,30.09.2016.,10.10.2016.,Izvješća objavljena,/Documents/List/3983,/ECon/MainScreen?entityId=3983,3983
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjeni i dopuni Pravilnika o dokumentaciji za izdvajanje poslova ili funkcija društva za osiguranje odnosno društva za reosiguranje,/ECon/EconReport?entityId=3970,09.09.2016.,25.09.2016.,03.11.2016.,Izvješća objavljena,/Documents/List/3970,/ECon/MainScreen?entityId=3970,3970
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjeni i dopuni Pravilnika o ponudi mirovinskih programa mirovinskih osiguravajućih društava,/ECon/EconReport?entityId=3971,09.09.2016.,25.09.2016.,03.11.2016.,Izvješća objavljena,/Documents/List/3971,/ECon/MainScreen?entityId=3971,3971
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika  o izmjeni i dopuni Pravilnika o sadržaju zahtjeva za izdavanje odobrenja za prijenos odnosno preuzimanje portfelja osiguranja društva za osiguranje odnosno društva za reosiguranje,/ECon/EconReport?entityId=3972,09.09.2016.,25.09.2016.,03.11.2016.,Izvješća objavljena,/Documents/List/3972,/ECon/MainScreen?entityId=3972,3972
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjeni i dopuni Pravilnika o promidžbenim aktivnostima i mrežnoj stranici mirovinskog osiguravajućeg društva,/ECon/EconReport?entityId=3973,09.09.2016.,25.09.2016.,03.11.2016.,Izvješća objavljena,/Documents/List/3973,/ECon/MainScreen?entityId=3973,3973
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjenama i dopunama Pravilnika o sadržaju redovitih izvješća i izvješća na zahtjev hrvatske agencije za nadzor financijskih usluga,/ECon/EconReport?entityId=3974,09.09.2016.,25.09.2016.,03.11.2016.,Izvješća objavljena,/Documents/List/3974,/ECon/MainScreen?entityId=3974,3974
