Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo graditeljstva i prostornoga uređenja,Tehnički propis o građevnim proizvodima,/ECon/EconReport?entityId=6458,30.11.2017.,14.12.2017.,30.03.2018.,Izvješća objavljena,/Documents/List/6458,/ECon/MainScreen?entityId=6458,6458
Ministarstvo vanjskih i europskih poslova,Savjetovanje o dopunjenom Planu zakonodavnih aktivnosti za 2018.,/ECon/EconReport?entityId=6452,29.11.2017.,14.12.2017.,20.12.2017.,Izvješća objavljena,/Documents/List/6452,/ECon/MainScreen?entityId=6452,6452
Državni zavod za mjeriteljstvo,"Prijedlog pravilnika o postupku ispitivanja mjerila toplinske energije namijenjenih za uporabu u kućanstvu, trgovini i lakoj industriji",/ECon/EconReport?entityId=6454,29.11.2017.,30.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6454,/ECon/MainScreen?entityId=6454,6454
Ministarstvo zdravstva,Savjetovanje za Prijedlog plana zakonodavnih aktivnosti Ministarstva zdravstva za 2018. godinu,NA,29.11.2017.,14.12.2017.,15.01.2018.,Zatvoren,/Documents/List/6456,/ECon/MainScreen?entityId=6456,6456
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o Nacrtu prijedloga Pravilnika o izmjenama Pravilnika o plaćanju naknada za pravo uporabe adresa, brojeva i radiofrekvencijskog spektra",/ECon/EconReport?entityId=6446,28.11.2017.,14.12.2017.,28.12.2017.,Izvješća objavljena,/Documents/List/6446,/ECon/MainScreen?entityId=6446,6446
Ministarstvo kulture,Savjetovanje o prethodnoj procjeni za nacrt prijedloga Zakona o knjižnicama i knjižničnoj djelatnosti,/ECon/EconReport?entityId=6450,28.11.2017.,13.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6450,/ECon/MainScreen?entityId=6450,6450
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnik o izmjenama i dopunama Pravilnika o strukturi i sadržaju godišnjih financijskih izvještaja Središnjeg klirinškog depozitarnog društva,/ECon/EconReport?entityId=6442,27.11.2017.,11.12.2017.,14.12.2017.,Izvješća objavljena,/Documents/List/6442,/ECon/MainScreen?entityId=6442,6442
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjenama i dopunama Pravilnika o strukturi i sadržaju godišnjih financijskih izvještaja Burze,/ECon/EconReport?entityId=6443,27.11.2017.,11.12.2017.,14.12.2017.,Izvješća objavljena,/Documents/List/6443,/ECon/MainScreen?entityId=6443,6443
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o izmjenama i dopunama Pravilnika o strukturi i sadržaju polugodišnjih i godišnjih financijskih izvještaja Fojnda za zaštitu ulagatelja,/ECon/EconReport?entityId=6444,27.11.2017.,11.12.2017.,14.12.2017.,Izvješća objavljena,/Documents/List/6444,/ECon/MainScreen?entityId=6444,6444
Ministarstvo uprave,Savjetovanje sa zainteresiranom javnošću o dopuni Prijedloga plana zakonodavnih aktivnosti Ministarstva uprave za 2018. godinu,/ECon/EconReport?entityId=6437,24.11.2017.,08.12.2017.,22.12.2017.,Izvješća objavljena,/Documents/List/6437,/ECon/MainScreen?entityId=6437,6437
Ministarstvo unutarnjih poslova,Savjetovanje sa zanteresiranom javnošću o dopuni Prijedloga plana zakonodavnih aktivnosti Ministarstva unutarnjih poslova za 2018. godinu,/ECon/EconReport?entityId=6440,24.11.2017.,08.12.2017.,10.12.2017.,Izvješća objavljena,/Documents/List/6440,/ECon/MainScreen?entityId=6440,6440
Državna geodetska uprava,Savjetovanje o Prijedlogu iskaza i Nacrtu prijedloga Zakona o državnoj izmjeri i katastru nekretnina,/ECon/EconReport?entityId=6427,23.11.2017.,10.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6427,/ECon/MainScreen?entityId=6427,6427
Središnji državni ured za Hrvate izvan Republike Hrvatske,Nacrt pravilnika o stipendiranju studenata - pripadnika hrvatskog naroda izvan Republike Hrvatske,/ECon/EconReport?entityId=6430,23.11.2017.,08.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6430,/ECon/MainScreen?entityId=6430,6430
Državna geodetska uprava,Savjetovanje o Nacrtu prijedloga Pravilnika o određivanju visine stvarnih troškova uporabe podataka dokumentacije državne izmjere i katastra nekretnina,/ECon/EconReport?entityId=6431,23.11.2017.,10.12.2017.,22.12.2017.,Izvješća objavljena,/Documents/List/6431,/ECon/MainScreen?entityId=6431,6431
Ministarstvo financija,Nacrt prijedloga Zakona o provedbi uredbe (EU) 2016/1011 o indeksima koji se upotrebljavaju kao referentne vrijednosti,/ECon/EconReport?entityId=6421,21.11.2017.,06.12.2017.,05.01.2018.,Izvješća objavljena,/Documents/List/6421,/ECon/MainScreen?entityId=6421,6421
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku","PRIJEDLOG PLANA PROPISA MINISTARSTVA ZA DEMOGRAFIJU, OBITELJ, MLADE I SOCIJALNU POLITIKU ZA 2018. GODINU I PRETHODNE PROCJENE",/ECon/EconReport?entityId=6423,21.11.2017.,06.12.2017.,08.01.2018.,Izvješća objavljena,/Documents/List/6423,/ECon/MainScreen?entityId=6423,6423
Ministarstvo pravosuđa,Savjetovanje za Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o sudovima,/ECon/EconReport?entityId=6395,17.11.2017.,05.12.2017.,06.12.2017.,Izvješća objavljena,/Documents/List/6395,/ECon/MainScreen?entityId=6395,6395
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o Državnom sudbenom vijeću,/ECon/EconReport?entityId=6398,17.11.2017.,05.12.2017.,06.12.2017.,Izvješća objavljena,/Documents/List/6398,/ECon/MainScreen?entityId=6398,6398
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o područjima i sjedištima državnih odvjetništava,/ECon/EconReport?entityId=6405,17.11.2017.,05.12.2017.,06.12.2017.,Izvješća objavljena,/Documents/List/6405,/ECon/MainScreen?entityId=6405,6405
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje u vezi nacrta Pravilnika o izračunu, visini i naplati naknada koje se plaćaju Hrvatskoj agenciji za nadzor financijskih usluga za 2018. godinu",/ECon/EconReport?entityId=6413,17.11.2017.,13.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6413,/ECon/MainScreen?entityId=6413,6413
Ministarstvo obrane,Javno savjetovanje o Prijedlogu plana zakonodavnih aktivnosti Ministarstva obrane za 2018. godinu i prethodnim procjenama,/ECon/EconReport?entityId=6415,17.11.2017.,01.12.2017.,15.12.2017.,Izvješća objavljena,/Documents/List/6415,/ECon/MainScreen?entityId=6415,6415
